Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100N 25V","CP_EIA-3216-18_Kemet-A",84.300000,-66.300000,135.000000,top
"D1","SOD4007","D_SOD-123F",75.500000,-65.600000,45.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1mm",89.001600,-49.682400,0.000000,top
"FID2","Fiducial","Fiducial_0.5mm_Mask1mm",71.079200,-67.614800,0.000000,top
"FID3","Fiducial","Fiducial_0.5mm_Mask1mm",87.985600,-68.478400,0.000000,top
"J1","BM04B-SRSS-TBT","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",87.543600,-59.100000,90.000000,top
"J2","motor-connector","motor-mount",71.255000,-73.263000,0.000000,top
"J3","motor-connector","motor-mount",71.330000,-55.263000,0.000000,top
"Q1","STN4NF20L","SOT223",73.141384,-53.016384,45.000000,top
"R1","160R","R_0603_1608Metric",73.406000,-63.652400,45.000000,top
"R2","100K","R_0603_1608Metric",72.110600,-62.306200,45.000000,top
"U1","250X15W104MV4E","250X15W104MV4E",85.900000,-64.500000,-45.000000,top
